event_id,service,environment,region,observed_at,latency_ms,error_count,timeout_count,traffic_rpm,cpu_percent,memory_percent,label,severity,incident_id
checkout_00018,checkout,production,us-east-1,2026-03-02T00:18:00+00:00,176.73,1,0,1382.82,46.14,59.7,0,,
checkout_00019,checkout,production,us-east-1,2026-03-02T00:19:00+00:00,166.79,1,0,1368.61,45.47,57.17,0,,
checkout_00020,checkout,production,us-east-1,2026-03-02T00:20:00+00:00,148.64,0,0,1541.92,43.4,59.46,0,,
checkout_00021,checkout,production,us-east-1,2026-03-02T00:21:00+00:00,170.36,0,1,1375.35,47.54,60.72,0,,
checkout_00022,checkout,production,us-east-1,2026-03-02T00:22:00+00:00,160.26,0,0,1510.53,46.21,58.72,0,,
checkout_00023,checkout,production,us-east-1,2026-03-02T00:23:00+00:00,175.03,1,0,1488.04,46.01,59.08,0,,
checkout_00024,checkout,production,us-east-1,2026-03-02T00:24:00+00:00,195.89,0,0,1395.88,49.08,59.61,0,,
checkout_00025,checkout,production,us-east-1,2026-03-02T00:25:00+00:00,156.53,0,0,1485.87,43.89,62.7,0,,
checkout_00026,checkout,production,us-east-1,2026-03-02T00:26:00+00:00,179.39,0,0,1491.83,48.6,59.39,0,,
checkout_00027,checkout,production,us-east-1,2026-03-02T00:27:00+00:00,216.16,0,0,1414.63,45.11,58.11,0,,
checkout_00028,checkout,production,us-east-1,2026-03-02T00:28:00+00:00,192.55,0,0,1474.93,48.41,59.08,0,,
checkout_00029,checkout,production,us-east-1,2026-03-02T00:29:00+00:00,210.48,0,0,1404.68,45.16,59.91,0,,
checkout_00030,checkout,production,us-east-1,2026-03-02T00:30:00+00:00,151.01,0,0,1395.14,45.06,55.23,0,,
checkout_00031,checkout,production,us-east-1,2026-03-02T00:31:00+00:00,192.91,0,0,1383.24,46.53,61.04,0,,
checkout_00032,checkout,production,us-east-1,2026-03-02T00:32:00+00:00,193.75,1,0,1435.3,41.9,57.62,0,,
checkout_00033,checkout,production,us-east-1,2026-03-02T00:33:00+00:00,200.85,0,0,1394.04,50.69,57.33,0,,
checkout_00034,checkout,production,us-east-1,2026-03-02T00:34:00+00:00,192.34,0,0,1496.22,50.78,57.83,0,,
checkout_00035,checkout,production,us-east-1,2026-03-02T00:35:00+00:00,194.9,0,0,1415.21,49.94,60.57,0,,
checkout_00036,checkout,production,us-east-1,2026-03-02T00:36:00+00:00,148.6,1,0,1454.15,50.33,58.1,0,,
checkout_00037,checkout,production,us-east-1,2026-03-02T00:37:00+00:00,177.01,1,1,1470.47,45.47,58.32,0,,
checkout_00038,checkout,production,us-east-1,2026-03-02T00:38:00+00:00,191.81,0,0,1335.96,46.08,58.05,0,,
checkout_00039,checkout,production,us-east-1,2026-03-02T00:39:00+00:00,190.74,0,0,1549.84,47.78,54.08,0,,
checkout_00040,checkout,production,us-east-1,2026-03-02T00:40:00+00:00,172.59,1,0,1465.06,51.75,57.76,0,,
checkout_00041,checkout,production,us-east-1,2026-03-02T00:41:00+00:00,193.05,1,0,1529.22,46.94,62.5,0,,
checkout_00042,checkout,production,us-east-1,2026-03-02T00:42:00+00:00,191.79,0,0,1561.27,47.88,60.77,0,,
checkout_00043,checkout,production,us-east-1,2026-03-02T00:43:00+00:00,182.67,1,0,1535.61,50.11,56.2,0,,
checkout_00044,checkout,production,us-east-1,2026-03-02T00:44:00+00:00,174.28,0,0,1587.98,50.26,58.5,0,,
checkout_00045,checkout,production,us-east-1,2026-03-02T00:45:00+00:00,183.13,0,0,1472.57,45.63,58.07,0,,
checkout_00046,checkout,production,us-east-1,2026-03-02T00:46:00+00:00,166.65,0,0,1570.83,45.39,59.09,0,,
checkout_00047,checkout,production,us-east-1,2026-03-02T00:47:00+00:00,166.5,0,0,1414.65,45.24,57.81,0,,
checkout_00048,checkout,production,us-east-1,2026-03-02T00:48:00+00:00,170.4,1,0,1379.45,49.28,60.92,0,,
checkout_00049,checkout,production,us-east-1,2026-03-02T00:49:00+00:00,195.04,0,0,1371.92,45.02,60.0,1,medium,inc_checkout_19
checkout_00050,checkout,production,us-east-1,2026-03-02T00:50:00+00:00,272.15,2,0,1569.68,52.2,57.08,1,medium,inc_checkout_19
checkout_00051,checkout,production,us-east-1,2026-03-02T00:51:00+00:00,307.48,4,2,1364.13,57.84,60.7,1,medium,inc_checkout_19
checkout_00052,checkout,production,us-east-1,2026-03-02T00:52:00+00:00,324.87,7,0,1502.51,57.99,60.14,1,medium,inc_checkout_19
checkout_00053,checkout,production,us-east-1,2026-03-02T00:53:00+00:00,356.14,4,3,1329.35,65.44,62.82,1,medium,inc_checkout_19
checkout_00054,checkout,production,us-east-1,2026-03-02T00:54:00+00:00,394.82,6,0,1423.62,59.34,62.88,1,medium,inc_checkout_19
checkout_00055,checkout,production,us-east-1,2026-03-02T00:55:00+00:00,381.64,6,2,1350.98,60.37,63.21,1,medium,inc_checkout_19
checkout_00056,checkout,production,us-east-1,2026-03-02T00:56:00+00:00,411.01,7,3,1243.16,65.03,64.93,1,medium,inc_checkout_19
checkout_00057,checkout,production,us-east-1,2026-03-02T00:57:00+00:00,416.93,7,3,1466.04,65.76,64.56,1,medium,inc_checkout_19
checkout_00058,checkout,production,us-east-1,2026-03-02T00:58:00+00:00,412.15,12,2,1361.48,65.89,63.48,1,medium,inc_checkout_19
checkout_00059,checkout,production,us-east-1,2026-03-02T00:59:00+00:00,405.08,3,1,1362.69,64.39,59.77,1,medium,inc_checkout_19
checkout_00060,checkout,production,us-east-1,2026-03-02T01:00:00+00:00,417.98,16,4,1218.62,66.35,68.47,1,medium,inc_checkout_19
checkout_00061,checkout,production,us-east-1,2026-03-02T01:01:00+00:00,417.89,4,2,1346.33,63.83,59.69,1,medium,inc_checkout_19
checkout_00062,checkout,production,us-east-1,2026-03-02T01:02:00+00:00,422.68,9,1,1334.4,62.85,61.04,1,medium,inc_checkout_19
checkout_00063,checkout,production,us-east-1,2026-03-02T01:03:00+00:00,399.08,4,3,1203.2,61.11,62.28,1,medium,inc_checkout_19
checkout_00064,checkout,production,us-east-1,2026-03-02T01:04:00+00:00,357.05,5,0,1308.51,62.94,62.32,1,medium,inc_checkout_19
checkout_00065,checkout,production,us-east-1,2026-03-02T01:05:00+00:00,329.15,5,2,1391.16,60.8,57.35,1,medium,inc_checkout_19
checkout_00066,checkout,production,us-east-1,2026-03-02T01:06:00+00:00,295.94,1,0,1318.27,58.8,61.38,1,medium,inc_checkout_19
checkout_00067,checkout,production,us-east-1,2026-03-02T01:07:00+00:00,252.5,3,0,1307.24,50.27,61.28,1,medium,inc_checkout_19
checkout_00068,checkout,production,us-east-1,2026-03-02T01:08:00+00:00,191.97,0,0,1372.38,47.29,57.88,1,medium,inc_checkout_19
checkout_00069,checkout,production,us-east-1,2026-03-02T01:09:00+00:00,203.57,0,0,1577.65,45.51,56.68,0,,
checkout_00070,checkout,production,us-east-1,2026-03-02T01:10:00+00:00,196.37,1,0,1460.45,49.12,58.35,0,,
checkout_00071,checkout,production,us-east-1,2026-03-02T01:11:00+00:00,186.31,0,0,1506.91,56.49,61.27,0,,
checkout_00072,checkout,production,us-east-1,2026-03-02T01:12:00+00:00,180.88,1,1,1595.91,46.77,58.4,0,,
checkout_00073,checkout,production,us-east-1,2026-03-02T01:13:00+00:00,188.06,2,0,1440.8,50.17,63.71,0,,
checkout_00074,checkout,production,us-east-1,2026-03-02T01:14:00+00:00,195.81,0,0,1431.44,49.02,56.39,0,,
checkout_00075,checkout,production,us-east-1,2026-03-02T01:15:00+00:00,169.04,0,0,1586.57,44.56,63.31,0,,
checkout_00076,checkout,production,us-east-1,2026-03-02T01:16:00+00:00,170.92,0,0,1434.32,50.08,55.68,0,,
checkout_00077,checkout,production,us-east-1,2026-03-02T01:17:00+00:00,178.64,0,0,1444.64,47.64,58.32,0,,
checkout_00078,checkout,production,us-east-1,2026-03-02T01:18:00+00:00,219.47,1,0,1536.92,54.23,57.52,0,,
checkout_00079,checkout,production,us-east-1,2026-03-02T01:19:00+00:00,184.39,1,0,1505.38,50.43,60.59,0,,
checkout_00080,checkout,production,us-east-1,2026-03-02T01:20:00+00:00,182.77,0,0,1519.58,43.43,61.18,0,,
checkout_00081,checkout,production,us-east-1,2026-03-02T01:21:00+00:00,172.64,0,0,1509.67,47.05,59.54,0,,
checkout_00082,checkout,production,us-east-1,2026-03-02T01:22:00+00:00,163.35,0,1,1564.81,49.67,59.43,0,,
checkout_00083,checkout,production,us-east-1,2026-03-02T01:23:00+00:00,171.29,1,0,1613.85,52.39,61.0,0,,
checkout_00084,checkout,production,us-east-1,2026-03-02T01:24:00+00:00,181.61,1,0,1522.4,47.37,60.52,0,,
checkout_00085,checkout,production,us-east-1,2026-03-02T01:25:00+00:00,182.9,1,0,1460.25,42.92,56.47,0,,
checkout_00086,checkout,production,us-east-1,2026-03-02T01:26:00+00:00,190.21,0,0,1490.37,51.95,61.38,0,,
checkout_00087,checkout,production,us-east-1,2026-03-02T01:27:00+00:00,200.05,0,0,1559.23,54.02,56.86,0,,
checkout_00088,checkout,production,us-east-1,2026-03-02T01:28:00+00:00,190.57,0,0,1651.0,43.91,61.04,0,,
checkout_00089,checkout,production,us-east-1,2026-03-02T01:29:00+00:00,218.75,1,0,1621.01,49.36,57.83,0,,
checkout_00090,checkout,production,us-east-1,2026-03-02T01:30:00+00:00,165.6,1,1,1538.09,46.38,60.58,0,,
checkout_00091,checkout,production,us-east-1,2026-03-02T01:31:00+00:00,180.26,0,0,1522.3,50.19,61.18,0,,
checkout_00092,checkout,production,us-east-1,2026-03-02T01:32:00+00:00,171.5,0,1,1577.62,39.08,58.7,0,,
checkout_00093,checkout,production,us-east-1,2026-03-02T01:33:00+00:00,154.5,0,0,1705.69,44.6,58.57,0,,
checkout_00094,checkout,production,us-east-1,2026-03-02T01:34:00+00:00,186.45,1,1,1456.32,49.69,57.68,0,,
checkout_00095,checkout,production,us-east-1,2026-03-02T01:35:00+00:00,183.02,1,0,1615.45,49.68,59.19,0,,
checkout_00096,checkout,production,us-east-1,2026-03-02T01:36:00+00:00,196.13,1,0,1989.8,53.7,60.13,0,,
checkout_00097,checkout,production,us-east-1,2026-03-02T01:37:00+00:00,200.62,1,0,2250.22,54.81,59.81,0,,
checkout_00098,checkout,production,us-east-1,2026-03-02T01:38:00+00:00,212.01,0,0,2542.51,56.61,60.42,0,,
checkout_00099,checkout,production,us-east-1,2026-03-02T01:39:00+00:00,210.83,0,0,2765.97,60.47,61.18,0,,
checkout_00100,checkout,production,us-east-1,2026-03-02T01:40:00+00:00,202.87,1,0,2664.68,62.89,55.59,0,,
checkout_00101,checkout,production,us-east-1,2026-03-02T01:41:00+00:00,183.56,1,0,2761.07,60.64,59.91,0,,
checkout_00102,checkout,production,us-east-1,2026-03-02T01:42:00+00:00,180.23,0,0,2710.15,60.33,58.5,0,,
checkout_00103,checkout,production,us-east-1,2026-03-02T01:43:00+00:00,204.23,1,0,2680.39,59.57,58.88,0,,
checkout_00104,checkout,production,us-east-1,2026-03-02T01:44:00+00:00,210.3,0,0,2509.58,60.11,59.81,0,,
checkout_00105,checkout,production,us-east-1,2026-03-02T01:45:00+00:00,223.74,0,0,2425.4,57.01,58.68,0,,
checkout_00106,checkout,production,us-east-1,2026-03-02T01:46:00+00:00,209.27,1,0,2027.85,52.34,57.86,0,,
checkout_00107,checkout,production,us-east-1,2026-03-02T01:47:00+00:00,175.32,0,0,1517.01,51.22,56.29,0,,
checkout_00108,checkout,production,us-east-1,2026-03-02T01:48:00+00:00,175.88,1,0,1620.35,54.47,60.58,0,,
checkout_00109,checkout,production,us-east-1,2026-03-02T01:49:00+00:00,215.16,0,1,1645.34,51.11,60.34,0,,
checkout_00110,checkout,production,us-east-1,2026-03-02T01:50:00+00:00,183.88,0,0,1572.83,47.99,57.43,0,,
checkout_00111,checkout,production,us-east-1,2026-03-02T01:51:00+00:00,182.83,1,0,1452.1,47.02,60.97,0,,
checkout_00112,checkout,production,us-east-1,2026-03-02T01:52:00+00:00,201.11,0,0,1551.36,45.89,60.69,0,,
checkout_00113,checkout,production,us-east-1,2026-03-02T01:53:00+00:00,179.01,0,0,1666.42,50.9,59.6,0,,
checkout_00114,checkout,production,us-east-1,2026-03-02T01:54:00+00:00,175.05,0,0,1600.41,48.62,58.9,0,,
checkout_00115,checkout,production,us-east-1,2026-03-02T01:55:00+00:00,179.94,0,0,1530.9,53.05,60.16,0,,
checkout_00116,checkout,production,us-east-1,2026-03-02T01:56:00+00:00,206.61,0,0,1515.51,56.35,58.7,0,,
checkout_00117,checkout,production,us-east-1,2026-03-02T01:57:00+00:00,216.39,0,0,1673.31,53.84,59.2,0,,
checkout_00118,checkout,production,us-east-1,2026-03-02T01:58:00+00:00,193.68,0,0,1564.28,48.36,61.96,0,,
checkout_00119,checkout,production,us-east-1,2026-03-02T01:59:00+00:00,212.28,0,0,1570.4,51.16,61.97,0,,
checkout_00120,checkout,production,us-east-1,2026-03-02T02:00:00+00:00,170.43,0,0,1715.32,44.43,59.8,0,,
checkout_00121,checkout,production,us-east-1,2026-03-02T02:01:00+00:00,180.74,0,0,1497.86,51.65,57.96,0,,
checkout_00122,checkout,production,us-east-1,2026-03-02T02:02:00+00:00,173.97,0,0,1580.67,53.26,58.14,0,,
checkout_00123,checkout,production,us-east-1,2026-03-02T02:03:00+00:00,198.98,1,0,1562.99,49.34,56.79,0,,
checkout_00124,checkout,production,us-east-1,2026-03-02T02:04:00+00:00,193.16,0,1,1653.24,52.23,59.3,0,,
checkout_00125,checkout,production,us-east-1,2026-03-02T02:05:00+00:00,190.03,0,0,1630.91,49.72,58.09,0,,
checkout_00126,checkout,production,us-east-1,2026-03-02T02:06:00+00:00,183.65,0,0,1442.26,51.4,59.03,0,,
checkout_00127,checkout,production,us-east-1,2026-03-02T02:07:00+00:00,187.36,0,0,1613.3,52.51,57.31,0,,
checkout_00128,checkout,production,us-east-1,2026-03-02T02:08:00+00:00,180.92,0,1,1667.89,51.68,62.59,0,,
checkout_00129,checkout,production,us-east-1,2026-03-02T02:09:00+00:00,184.68,1,0,1595.51,51.2,58.14,0,,
checkout_00130,checkout,production,us-east-1,2026-03-02T02:10:00+00:00,165.83,0,0,1597.13,47.08,61.97,0,,
checkout_00131,checkout,production,us-east-1,2026-03-02T02:11:00+00:00,184.75,1,0,1674.09,50.62,58.72,0,,
checkout_00132,checkout,production,us-east-1,2026-03-02T02:12:00+00:00,188.97,1,0,1683.4,58.21,56.39,0,,
checkout_00133,checkout,production,us-east-1,2026-03-02T02:13:00+00:00,175.05,0,0,1521.78,49.06,57.54,0,,
checkout_00134,checkout,production,us-east-1,2026-03-02T02:14:00+00:00,179.29,0,0,1697.47,50.12,58.12,0,,
checkout_00135,checkout,production,us-east-1,2026-03-02T02:15:00+00:00,191.57,0,0,1573.31,54.33,55.07,0,,
checkout_00136,checkout,production,us-east-1,2026-03-02T02:16:00+00:00,210.42,0,1,1584.89,53.54,61.76,0,,
checkout_00137,checkout,production,us-east-1,2026-03-02T02:17:00+00:00,181.02,0,0,1477.69,49.12,59.42,0,,
checkout_00138,checkout,production,us-east-1,2026-03-02T02:18:00+00:00,202.52,0,1,1555.66,50.04,57.57,0,,
checkout_00139,checkout,production,us-east-1,2026-03-02T02:19:00+00:00,194.86,1,0,1602.08,54.08,56.93,0,,
checkout_00140,checkout,production,us-east-1,2026-03-02T02:20:00+00:00,164.83,0,0,1598.89,50.53,56.92,0,,
checkout_00141,checkout,production,us-east-1,2026-03-02T02:21:00+00:00,165.44,0,0,1708.62,49.39,59.01,0,,
checkout_00142,checkout,production,us-east-1,2026-03-02T02:22:00+00:00,160.39,1,0,1665.78,52.02,62.03,0,,
checkout_00143,checkout,production,us-east-1,2026-03-02T02:23:00+00:00,204.81,0,0,1691.28,48.4,58.79,0,,
checkout_00144,checkout,production,us-east-1,2026-03-02T02:24:00+00:00,180.85,1,0,1658.75,50.53,59.99,0,,
checkout_00145,checkout,production,us-east-1,2026-03-02T02:25:00+00:00,188.86,1,0,1772.41,53.58,56.85,0,,
checkout_00146,checkout,production,us-east-1,2026-03-02T02:26:00+00:00,185.71,0,0,1583.78,50.52,60.21,0,,
checkout_00147,checkout,production,us-east-1,2026-03-02T02:27:00+00:00,166.58,0,0,1704.49,51.79,59.95,0,,
checkout_00148,checkout,production,us-east-1,2026-03-02T02:28:00+00:00,208.08,0,0,1641.82,54.2,59.51,0,,
checkout_00149,checkout,production,us-east-1,2026-03-02T02:29:00+00:00,207.25,0,0,1745.55,45.19,60.87,0,,
checkout_00150,checkout,production,us-east-1,2026-03-02T02:30:00+00:00,177.74,1,1,1641.17,48.78,60.14,0,,
checkout_00151,checkout,production,us-east-1,2026-03-02T02:31:00+00:00,192.85,0,0,1615.52,54.06,61.47,0,,
checkout_00152,checkout,production,us-east-1,2026-03-02T02:32:00+00:00,168.54,0,0,1603.85,47.49,61.51,0,,
checkout_00153,checkout,production,us-east-1,2026-03-02T02:33:00+00:00,182.93,0,0,1645.24,53.8,57.94,0,,
checkout_00154,checkout,production,us-east-1,2026-03-02T02:34:00+00:00,180.49,1,0,1593.45,49.11,58.65,0,,
checkout_00155,checkout,production,us-east-1,2026-03-02T02:35:00+00:00,149.75,0,0,1657.34,52.42,61.61,0,,
checkout_00156,checkout,production,us-east-1,2026-03-02T02:36:00+00:00,197.36,0,0,1620.12,50.43,62.32,0,,
checkout_00157,checkout,production,us-east-1,2026-03-02T02:37:00+00:00,171.29,0,0,1587.55,54.89,59.59,0,,
checkout_00158,checkout,production,us-east-1,2026-03-02T02:38:00+00:00,166.6,0,0,1509.07,52.24,59.5,0,,
checkout_00159,checkout,production,us-east-1,2026-03-02T02:39:00+00:00,186.77,1,0,1631.87,52.25,57.04,0,,
checkout_00160,checkout,production,us-east-1,2026-03-02T02:40:00+00:00,185.34,1,2,1645.3,55.84,60.88,0,,
checkout_00161,checkout,production,us-east-1,2026-03-02T02:41:00+00:00,179.21,0,0,1776.74,54.23,60.29,0,,
checkout_00162,checkout,production,us-east-1,2026-03-02T02:42:00+00:00,180.99,1,0,1661.37,48.14,59.58,0,,
checkout_00163,checkout,production,us-east-1,2026-03-02T02:43:00+00:00,216.65,0,0,1696.37,50.18,54.45,0,,
checkout_00164,checkout,production,us-east-1,2026-03-02T02:44:00+00:00,217.61,0,0,1777.36,54.08,61.84,0,,
checkout_00165,checkout,production,us-east-1,2026-03-02T02:45:00+00:00,185.23,0,0,1672.56,55.08,58.87,0,,
checkout_00166,checkout,production,us-east-1,2026-03-02T02:46:00+00:00,183.35,0,1,1610.97,46.27,59.4,0,,
checkout_00167,checkout,production,us-east-1,2026-03-02T02:47:00+00:00,197.61,0,0,1560.89,54.14,61.82,0,,
checkout_00168,checkout,production,us-east-1,2026-03-02T02:48:00+00:00,177.25,0,0,1620.48,52.59,59.01,0,,
checkout_00169,checkout,production,us-east-1,2026-03-02T02:49:00+00:00,188.27,0,0,1771.2,50.76,63.28,0,,
checkout_00170,checkout,production,us-east-1,2026-03-02T02:50:00+00:00,176.74,0,0,1663.39,49.84,56.54,0,,
checkout_00171,checkout,production,us-east-1,2026-03-02T02:51:00+00:00,172.2,1,0,1687.64,50.7,57.4,0,,
checkout_00172,checkout,production,us-east-1,2026-03-02T02:52:00+00:00,189.21,0,0,1644.21,51.39,59.18,0,,
checkout_00173,checkout,production,us-east-1,2026-03-02T02:53:00+00:00,173.77,0,0,1698.64,49.21,58.85,0,,
checkout_00174,checkout,production,us-east-1,2026-03-02T02:54:00+00:00,218.48,1,0,1645.56,52.87,60.66,0,,
checkout_00175,checkout,production,us-east-1,2026-03-02T02:55:00+00:00,172.94,1,0,1663.19,51.93,57.87,0,,
checkout_00176,checkout,production,us-east-1,2026-03-02T02:56:00+00:00,189.59,0,0,1612.64,42.2,57.19,0,,
checkout_00177,checkout,production,us-east-1,2026-03-02T02:57:00+00:00,205.45,0,0,1736.51,53.77,57.5,0,,
checkout_00178,checkout,production,us-east-1,2026-03-02T02:58:00+00:00,188.53,1,0,1624.47,56.2,60.59,0,,
checkout_00179,checkout,production,us-east-1,2026-03-02T02:59:00+00:00,205.41,0,0,1654.8,54.79,58.26,0,,
checkout_00180,checkout,production,us-east-1,2026-03-02T03:00:00+00:00,199.58,1,0,1569.93,48.07,59.46,0,,
checkout_00181,checkout,production,us-east-1,2026-03-02T03:01:00+00:00,188.21,0,1,1745.49,50.42,59.06,0,,
checkout_00182,checkout,production,us-east-1,2026-03-02T03:02:00+00:00,189.15,1,0,1646.21,50.94,59.82,0,,
checkout_00183,checkout,production,us-east-1,2026-03-02T03:03:00+00:00,175.21,1,1,1769.75,51.45,60.87,0,,
checkout_00184,checkout,production,us-east-1,2026-03-02T03:04:00+00:00,194.78,1,0,1553.51,51.36,58.15,0,,
checkout_00185,checkout,production,us-east-1,2026-03-02T03:05:00+00:00,182.01,2,0,1761.87,49.91,63.06,0,,
checkout_00186,checkout,production,us-east-1,2026-03-02T03:06:00+00:00,170.34,0,0,1545.82,54.84,60.32,0,,
checkout_00187,checkout,production,us-east-1,2026-03-02T03:07:00+00:00,166.87,1,0,1727.25,51.33,57.23,0,,
checkout_00188,checkout,production,us-east-1,2026-03-02T03:08:00+00:00,190.95,0,0,1639.03,51.7,60.11,0,,
checkout_00189,checkout,production,us-east-1,2026-03-02T03:09:00+00:00,199.88,1,0,1630.53,52.68,59.56,0,,
checkout_00190,checkout,production,us-east-1,2026-03-02T03:10:00+00:00,199.8,0,0,1575.74,55.61,60.9,0,,
checkout_00191,checkout,production,us-east-1,2026-03-02T03:11:00+00:00,223.19,1,0,1575.56,58.89,58.54,0,,
checkout_00192,checkout,production,us-east-1,2026-03-02T03:12:00+00:00,187.0,0,0,1756.95,56.71,55.78,0,,
checkout_00193,checkout,production,us-east-1,2026-03-02T03:13:00+00:00,191.64,0,0,1649.35,49.52,59.71,0,,
checkout_00194,checkout,production,us-east-1,2026-03-02T03:14:00+00:00,190.0,0,0,1702.92,52.26,59.33,0,,
checkout_00195,checkout,production,us-east-1,2026-03-02T03:15:00+00:00,181.45,0,0,1644.18,55.69,61.34,0,,
checkout_00196,checkout,production,us-east-1,2026-03-02T03:16:00+00:00,169.84,0,0,1725.66,53.41,59.34,0,,
checkout_00197,checkout,production,us-east-1,2026-03-02T03:17:00+00:00,205.37,0,0,1636.53,46.58,58.83,0,,
checkout_00198,checkout,production,us-east-1,2026-03-02T03:18:00+00:00,196.01,0,0,1672.2,54.2,62.32,0,,
checkout_00199,checkout,production,us-east-1,2026-03-02T03:19:00+00:00,201.85,1,0,1631.22,55.13,64.09,0,,
checkout_00200,checkout,production,us-east-1,2026-03-02T03:20:00+00:00,193.28,0,0,1675.57,47.43,60.98,0,,
checkout_00201,checkout,production,us-east-1,2026-03-02T03:21:00+00:00,176.35,0,0,1713.17,53.34,60.84,0,,
checkout_00202,checkout,production,us-east-1,2026-03-02T03:22:00+00:00,182.77,0,0,1652.34,53.5,57.53,0,,
checkout_00203,checkout,production,us-east-1,2026-03-02T03:23:00+00:00,187.15,0,0,1746.49,48.64,56.55,0,,
checkout_00204,checkout,production,us-east-1,2026-03-02T03:24:00+00:00,191.01,0,1,1779.21,49.54,54.07,0,,
checkout_00205,checkout,production,us-east-1,2026-03-02T03:25:00+00:00,207.18,1,0,1771.65,54.61,61.33,0,,
checkout_00206,checkout,production,us-east-1,2026-03-02T03:26:00+00:00,171.8,0,0,1681.1,52.26,60.14,0,,
checkout_00207,checkout,production,us-east-1,2026-03-02T03:27:00+00:00,177.24,0,0,1811.88,53.11,60.84,0,,
checkout_00208,checkout,production,us-east-1,2026-03-02T03:28:00+00:00,196.72,1,0,1718.81,55.2,56.62,0,,
checkout_00209,checkout,production,us-east-1,2026-03-02T03:29:00+00:00,201.68,0,0,1673.41,50.1,59.12,0,,
checkout_00210,checkout,production,us-east-1,2026-03-02T03:30:00+00:00,203.02,0,0,1675.98,54.4,57.98,0,,
checkout_00211,checkout,production,us-east-1,2026-03-02T03:31:00+00:00,213.14,1,0,1677.36,46.9,60.51,0,,
checkout_00212,checkout,production,us-east-1,2026-03-02T03:32:00+00:00,180.03,0,1,1706.46,44.66,59.65,0,,
checkout_00213,checkout,production,us-east-1,2026-03-02T03:33:00+00:00,206.95,1,1,1593.54,45.95,60.65,0,,
checkout_00214,checkout,production,us-east-1,2026-03-02T03:34:00+00:00,148.83,0,0,1884.13,53.43,58.88,0,,
checkout_00215,checkout,production,us-east-1,2026-03-02T03:35:00+00:00,174.37,0,0,1667.97,55.39,57.24,0,,
checkout_00216,checkout,production,us-east-1,2026-03-02T03:36:00+00:00,185.55,0,0,1672.49,48.71,58.51,0,,
checkout_00217,checkout,production,us-east-1,2026-03-02T03:37:00+00:00,193.8,1,0,1716.99,52.52,59.48,0,,
checkout_00218,checkout,production,us-east-1,2026-03-02T03:38:00+00:00,204.51,1,0,1775.55,53.42,57.8,0,,
checkout_00219,checkout,production,us-east-1,2026-03-02T03:39:00+00:00,201.58,1,0,1801.54,60.51,55.77,0,,
checkout_00220,checkout,production,us-east-1,2026-03-02T03:40:00+00:00,211.09,0,0,1739.23,45.99,60.62,0,,
checkout_00221,checkout,production,us-east-1,2026-03-02T03:41:00+00:00,213.26,1,0,1800.06,53.87,55.73,0,,
checkout_00222,checkout,production,us-east-1,2026-03-02T03:42:00+00:00,167.7,0,0,1716.95,48.25,60.98,0,,
checkout_00223,checkout,production,us-east-1,2026-03-02T03:43:00+00:00,177.93,2,0,1696.48,52.18,56.35,0,,
